合同序号,交易市场,股东代码,股东姓名,证券代码,证券名称,成交结果,成交价格,成交数量,确认撤单数量,成交金额,全价成交金额,资金发生,成交时间,委托价格,委托数量,债券利息,债券应计利息,委托方式,席位代码,证券类别,交易类型,资金帐号,客户代码,营业部,客户类别,经纪人代码,成交编号,操作柜员,总流水号,业务类型标识说明,履约金,产品集,产品集成交序号,手续费,印花税,清算费,过户费,交易规费,经手费,一级过户费,证管费,风险基金,交易费用,购回金额,购回日期,账户属性,内部交易业务类型,交易序号,RMS TradeID,外部帐号,外部标识,交易币种,交易参考汇率,CE代码,CRM代码,CMIS代码
10016142,深Ａ,SZ00000302,方正证券股份有限公司,2916,深南电路,卖出成交,118.01,100.00 ,0,"11,801.00","11,801.00","11,788.15",2019/7/25 10:39,118.01,100,0,0,柜台,395106,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.02E+14,88213,293184,普通交易卖出,,,,0,11.8,0,0,0,0.57,0.24,0.24,0,12.85,0,,普通帐户,TS,,,,,0,1,,,
10016143,深Ａ,SZ00000302,方正证券股份有限公司,300166,东方国信,卖出成交,11.88,2700.00 ,0,"32,076.00","32,076.00","32,041.08",2019/7/25 10:39,11.88,"2,700",0,0,柜台,395106,创业板,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.03E+14,88213,293187,普通交易卖出,,,,0,32.08,0,0,0,1.56,0.64,0.64,0,34.92,0,,普通帐户,TS,,,,,0,1,,,
10016170,深Ａ,SZ00000302,方正证券股份有限公司,568,泸州老窖,卖出成交,80,100.00 ,0,"8,000.00","8,000.00","7,991.29",2019/7/25 10:39,80,400,0,0,柜台,395106,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.03E+14,88213,190235,普通交易卖出,,,,0,8,0,0,0,0.39,0.16,0.16,0,8.71,0,,普通帐户,TS,,,,,0,1,,,
1000081666,沪Ａ,SH00000302,方正证券股份有限公司,600519,贵州茅台,卖出成交,944,100.00 ,0,"94,400.00","94,400.00","94,297.22",2019/7/25 10:39,943.99,100,0,0,柜台,28450,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,4766227,88213,190239,普通交易卖出,,6月6日,15500,0,94.4,0,0,0,4.6,1.89,1.89,0,102.78,0,,普通帐户,TS,,,,,0,1,,,
10016170,深Ａ,SZ00000302,方正证券股份有限公司,568,泸州老窖,卖出成交,80,300.00 ,0,"24,000.00","24,000.00","23,973.87",2019/7/25 10:39,80,400,0,0,柜台,395106,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.03E+14,88213,293195,普通交易卖出,,,,0,24,0,0,0,1.17,0.48,0.48,0,26.13,0,,普通帐户,TS,,,,,0,1,,,
1000081697,沪Ａ,SH00000302,方正证券股份有限公司,600340,华夏幸福,卖出成交,30.75,1100.00 ,0,"33,825.00","33,825.00","33,788.16",2019/7/25 10:39,30.75,"1,500",0,0,柜台,28450,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,4766245,88213,293200,普通交易卖出,,3月3日,14800,0,33.83,0,0,0,1.65,0.68,0.68,0,36.84,0,,普通帐户,TS,,,,,0,1,,,
1000081692,沪Ａ,SH00000302,方正证券股份有限公司,600645,中源协和,卖出成交,16.06,100.00 ,0,"1,606.00","1,606.00","1,604.25",2019/7/25 10:39,16.06,700,0,0,柜台,28450,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,4766277,88213,293202,普通交易卖出,,3月3日,14810,0,1.61,0,0,0,0.08,0.03,0.03,0,1.75,0,,普通帐户,TS,,,,,0,1,,,
10016167,深Ａ,SZ00000302,方正证券股份有限公司,2527,新时达,卖出成交,4.99,3300.00 ,0,"16,467.00","16,467.00","16,449.07",2019/7/25 10:39,4.99,"3,300",0,0,柜台,395106,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.04E+14,88213,293204,普通交易卖出,,,,0,16.47,0,0,0,0.8,0.33,0.33,0,17.93,0,,普通帐户,TS,,,,,0,1,,,
10016136,深Ａ,SZ00000302,方正证券股份有限公司,2812,恩捷股份,卖出成交,32.56,800.00 ,0,"26,048.00","26,048.00","26,019.64",2019/7/25 10:39,32.56,800,0,0,柜台,395106,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.02E+14,88213,190245,普通交易卖出,,,,0,26.05,0,0,0,1.27,0.52,0.52,0,28.36,0,,普通帐户,TS,,,,,0,1,,,
10016109,深Ａ,SZ00000302,方正证券股份有限公司,300418,昆仑万维,卖出成交,12.98,100.00 ,0,"1,298.00","1,298.00","1,296.58",2019/7/25 10:39,12.98,"2,700",0,0,柜台,395106,创业板,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.02E+14,88213,190251,普通交易卖出,,,,0,1.3,0,0,0,0.06,0.03,0.03,0,1.42,0,,普通帐户,TS,,,,,0,1,,,
