合同序号,交易市场,股东代码,股东姓名,证券代码,证券名称,成交结果,成交价格,成交数量,确认撤单数量,成交金额,全价成交金额,资金发生,成交时间,委托价格,委托数量,债券利息,债券应计利息,委托方式,席位代码,证券类别,交易类型,资金帐号,客户代码,营业部,客户类别,经纪人代码,成交编号,操作柜员,总流水号,业务类型标识说明,履约金,产品集,产品集成交序号,手续费,印花税,清算费,过户费,交易规费,经手费,一级过户费,证管费,风险基金,交易费用,购回金额,购回日期,账户属性,内部交易业务类型,交易序号,RMS TradeID,外部帐号,外部标识,交易币种,交易参考汇率,CE代码,CRM代码,CMIS代码
10002484,深Ａ,SZ00000302,方正证券股份有限公司,2572,索菲亚,卖出成交,18.72,1000,0,"18,720.00","18,720.00","18,699.63",2019/7/26 13:01,18.72,"1,000",0,0,柜台,395106,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.02E+14,88213,92961,普通交易卖出,,,,0,18.72,0,0,0,0.91,0.37,0.37,0,20.37,0,,普通帐户,TS,,,,,0,1,,,
10002514,深Ａ,SZ00000302,方正证券股份有限公司,2670,国盛金控,卖出成交,11.06,2200,0,"24,332.00","24,332.00","24,305.51",2019/7/26 13:01,11.06,"2,200",0,0,柜台,395106,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.04E+14,88213,290456,普通交易卖出,,,,0,24.33,0,0,0,1.18,0.49,0.49,0,26.49,0,,普通帐户,TS,,,,,0,1,,,
10002517,深Ａ,SZ00000302,方正证券股份有限公司,300271,华宇软件,卖出成交,19.3,840,0,"16,212.00","16,212.00","16,194.36",2019/7/26 13:01,19.3,"1,400",0,0,柜台,395106,创业板,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.02E+14,88213,290458,普通交易卖出,,,,0,16.21,0,0,0,0.79,0.32,0.32,0,17.64,0,,普通帐户,TS,,,,,0,1,,,
10002546,深Ａ,SZ00000302,方正证券股份有限公司,300413,芒果超媒,卖出成交,37.85,700,0,"26,495.00","26,495.00","26,466.15",2019/7/26 13:01,37.8,"2,400",0,0,柜台,395106,创业板,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.02E+14,88213,290460,普通交易卖出,,,,0,26.5,0,0,0,1.29,0.53,0.53,0,28.85,0,,普通帐户,TS,,,,,0,1,,,
1000133074,沪Ａ,SH00000302,方正证券股份有限公司,603727,博迈科,卖出成交,21.12,3000,0,"63,360.00","63,360.00","63,291.01",2019/7/26 13:01,21.12,"3,000",0,0,柜台,28450,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,6384577,88213,290474,普通交易卖出,,3月3日,8650,0,63.36,0,0,0,3.09,1.27,1.27,0,68.99,0,,普通帐户,TS,,,,,0,1,,,
10002462,深Ａ,SZ00000302,方正证券股份有限公司,402,金 融 街,卖出成交,7.73,1200,0,"9,276.00","9,276.00","9,265.89",2019/7/26 13:01,7.73,"18,000",0,0,柜台,395106,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.01E+14,88213,92966,普通交易卖出,,,,0,9.28,0,0,0,0.45,0.19,0.19,0,10.11,0,,普通帐户,TS,,,,,0,1,,,
10002478,深Ａ,SZ00000302,方正证券股份有限公司,2273,水晶光电,卖出成交,10.68,700,0,"7,476.00","7,476.00","7,467.86",2019/7/26 13:01,10.68,"2,100",0,0,柜台,395106,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.04E+14,88213,92970,普通交易卖出,,,,0,7.48,0,0,0,0.36,0.15,0.15,0,8.14,0,,普通帐户,TS,,,,,0,1,,,
10002560,深Ａ,SZ00000302,方正证券股份有限公司,300657,弘信电子,卖出成交,25.06,6300,0,"157,878.00","157,878.00","157,706.11",2019/7/26 13:01,25.06,"7,200",0,0,柜台,395106,创业板,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.03E+14,88213,92972,普通交易卖出,,,,0,157.88,0,0,0,7.69,3.16,3.16,0,171.89,0,,普通帐户,TS,,,,,0,1,,,
10002475,深Ａ,SZ00000302,方正证券股份有限公司,2234,民和股份,卖出成交,33.16,300,0,"9,948.00","9,948.00","9,937.17",2019/7/26 13:01,33.16,"1,500",0,0,柜台,395106,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.02E+14,88213,92974,普通交易卖出,,,,0,9.95,0,0,0,0.48,0.2,0.2,0,10.83,0,,普通帐户,TS,,,,,0,1,,,
10002539,深Ａ,SZ00000302,方正证券股份有限公司,333,美的集团,卖出成交,53.29,400,0,"21,316.00","21,316.00","21,292.78",2019/7/26 13:01,53.29,"1,500",0,0,柜台,395106,股票,正常买卖,302,302,总公司,自营,99998-默认经纪人,1.02E+14,88213,290553,普通交易卖出,,,,0,21.32,0,0,0,1.04,0.43,0.43,0,23.22,0,,普通帐户,TS,,,,,0,1,,,
