发生日期,交易市场,股东代码,股东姓名,证券代码,证券名称,股份余额,非流通股份,限售股份,证券市值,资金帐号,客户代码,质押券余额,质押券可用数,股份状态,营业部,客户类别,账户属性,证券类别,净资本类别,交易类型,实现收益,行业种类,成本价,成本金额,浮动盈亏,收盘价,总股本,占总股本比例%,流通股本,占流通股本比例%,统计占比%,股份总余额,证券市场价值,融券余额,标准券余额/元,标准券可用/元,人民币证券市值,流通股市值,限售股市值,非流通股市值,可售冻结余额,不可售冻结余额,参考汇率,结算币种证券市值,结算币种成本价,结算币种实现收益,结算币种成本金额,结算币种浮动盈亏,结算币种收盘价,结算币种市场价值,待交收数量,报价回购质押入库可用数,报价回购质押入库余额,质押数量,成份股标识
2019/7/25,沪Ａ,SH00000302,方正证券股份有限公司,510500,500ETF,165000.00 ,0,0,"870,045.00",302,302,0,0,正常,总公司,自营,普通帐户,ETF基金,,正常买卖,"-31,184.53",,5.246,"865,599.01","4,445.99",5.273,"8,974,667,244",0.0018,"8,974,667,244",0.0018,0,"165,000","869,715.00",0,0,0,"870,045.00","870,045.00",0,0,0,0,1,"870,045.00",5.2461,"-31,184.53","865,599.01","4,445.99",5.273,"869,715.00",0,0,0,0,
2019/7/25,沪Ａ,SH00000302,方正证券股份有限公司,511880,银华日利,259401.00 ,0,0,"26,350,212.98",302,302,0,0,正常,总公司,自营,普通帐户,ETF基金,,正常买卖,"19,275.27",,101.396,"26,302,152.67","48,060.31",101.581,"565,575,160",0.0459,"565,575,160",0.0459,0,"259,401","26,353,325.79",0,0,0,"26,350,212.98","26,350,212.98",0,0,0,0,1,"26,350,212.98",101.3957,"19,275.27","26,302,152.67","48,060.31",101.581,"26,353,325.79",0,0,0,0,
2019/7/25,沪Ａ,SH00000302,方正证券股份有限公司,600019,宝钢股份,6400.00 ,0,0,"40,256.00",302,302,0,0,正常,总公司,自营,普通帐户,股票,,正常买卖,0,,6.306,"40,355.58",-99.58,6.29,"22,276,134,075",0,"22,101,086,925",0,0,"6,400","40,192.00",0,0,0,"40,256.00","40,256.00",0,0,0,0,1,"40,256.00",6.3056,0,"40,355.58",-99.58,6.29,"40,192.00",0,0,0,0,A^B
2019/7/25,沪Ａ,SH00000302,方正证券股份有限公司,600026,中远海能,19000.00 ,0,0,"122,170.00",302,302,0,0,正常,总公司,自营,普通帐户,股票,,正常买卖,0,,6.536,"124,176.01","-2,006.01",6.43,"2,736,032,861",0.0007,"2,736,032,861",0.0007,0,"19,000","121,790.00",0,0,0,"122,170.00","122,170.00",0,0,0,0,1,"122,170.00",6.5356,0,"124,176.01","-2,006.01",6.43,"121,790.00",0,0,0,0,
2019/7/25,沪Ａ,SH00000302,方正证券股份有限公司,600036,招商银行,2100.00 ,0,0,"78,246.00",302,302,0,0,正常,总公司,自营,普通帐户,股票,,正常买卖,"1,054.13",,36.837,"77,358.41",887.59,37.26,"20,628,944,429",0,"20,628,944,429",0,0,"2,100","77,973.00",0,0,0,"78,246.00","78,246.00",0,0,0,0,1,"78,246.00",36.8373,"1,054.13","77,358.41",887.59,37.26,"77,973.00",0,0,0,0,A^B
2019/7/25,沪Ａ,SH00000302,方正证券股份有限公司,600053,九鼎投资,1000.00 ,0,0,"23,300.00",302,302,0,0,正常,总公司,自营,普通帐户,股票,,正常买卖,-362.7,,23.817,"23,817.14",-517.14,23.3,"433,540,800",0.0002,"433,540,800",0.0002,0,"1,000","23,200.00",0,0,0,"23,300.00","23,300.00",0,0,0,0,1,"23,300.00",23.8171,-362.7,"23,817.14",-517.14,23.3,"23,200.00",0,0,0,0,
2019/7/25,沪Ａ,SH00000302,方正证券股份有限公司,600064,南京高科,3400.00 ,0,0,"32,062.00",302,302,0,0,正常,总公司,自营,普通帐户,股票,,正常买卖,-326.76,,9.506,"32,319.89",-257.89,9.43,"1,235,956,888",0.0003,"1,235,956,888",0.0003,0,"3,400","33,116.00",0,0,0,"32,062.00","32,062.00",0,0,0,0,1,"32,062.00",9.5059,-326.76,"32,319.89",-257.89,9.43,"33,116.00",0,0,0,0,
2019/7/25,沪Ａ,SH00000302,方正证券股份有限公司,600089,特变电工,14000.00 ,0,0,"97,860.00",302,302,0,0,正常,总公司,自营,普通帐户,股票,,正常买卖,0,,7.006,"98,078.71",-218.71,6.99,"3,714,502,789",0.0004,"3,714,312,789",0.0004,0,"14,000","97,860.00",0,0,0,"97,860.00","97,860.00",0,0,0,0,1,"97,860.00",7.0056,0,"98,078.71",-218.71,6.99,"97,860.00",0,0,0,0,A^B
2019/7/25,沪Ａ,SH00000302,方正证券股份有限公司,600094,大名城,8800.00 ,0,0,"66,088.00",302,302,0,0,正常,总公司,自营,普通帐户,股票,,正常买卖,0,,7.986,"70,274.24","-4,186.24",7.51,"2,276,604,962",0.0004,"2,276,604,962",0.0004,0,"8,800","66,792.00",0,0,0,"66,088.00","66,088.00",0,0,0,0,1,"66,088.00",7.9857,0,"70,274.24","-4,186.24",7.51,"66,792.00",0,0,0,0,
2019/7/25,沪Ａ,SH00000302,方正证券股份有限公司,600191,华资实业,4700.00 ,0,0,"26,555.00",302,302,0,0,正常,总公司,自营,普通帐户,股票,,正常买卖,0,,5.621,"26,416.35",138.65,5.65,"484,932,000",0.001,"484,932,000",0.001,0,"4,700","26,461.00",0,0,0,"26,555.00","26,555.00",0,0,0,0,1,"26,555.00",5.6205,0,"26,416.35",138.65,5.65,"26,461.00",0,0,0,0,
